行业,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
体育产业,3,,1,1,1,2,,1,,,,,1,,
信息业,1,,,,,,,,,,,,1,,
先进制造,,,,,,,,,,,,,,,
冶金,,1,1,3,3,1,,,,,,,1,,1
化工,1,,1,,1,1,2,4,1,1,1,,,1,
卷烟,2,1,1,2,1,1,1,1,1,1,1,2,1,1,
原煤,,1,,,,,,,,,,,,,
商务会展,,,,,,,,,,,,,,,
商贸,3,1,2,7,5,4,4,6,8,4,5,5,4,5,4
大数据,,,,,,,,,,,,,,,
家具制造,,,,,,,,,,,,,,,
建筑,1,1,1,2,3,3,1,1,3,2,3,5,4,2,
房地产,2,,2,3,9,2,1,4,1,3,2,4,3,3,
批发零售业,,,,,,,,,,,,,,,
文化创意,,,,,,,,,,,,,,,
文化娱乐业,,,,,,,,,,,,,,,
新型电子信息,,,,,,,,,,,,,,,
新材料,,,,,,,,,,,,,,,
新能源,,,,,,,,6,1,4,2,2,3,2,
旅游业,7,,,1,2,2,,4,3,3,,1,1,,
有色金属,,1,2,4,4,5,8,8,4,3,2,4,2,5,1
机械,1,,,1,2,2,2,4,1,3,1,1,2,1,1
汽车零配件,,,,,,,,,,,,,,,
物流,5,,1,8,11,7,10,21,8,3,4,5,9,11,5
玩具,1,,4,10,10,6,4,8,4,5,2,4,2,2,
现代农业,3,,,3,2,2,2,13,4,5,2,1,1,4,3
生产性服务,,,,,,,,,,,,,,,
生物医药,,,,,,,,5,1,1,1,,,1,
电力,1,2,1,7,5,4,2,2,2,1,,1,4,2,1
电子商务,2,,,,,1,1,1,,3,3,4,5,1,3
纺织服装,,,,,,,,,,,,,,,
装备制造,,,,,,,,,,,,,,,
运输业,1,,,,,,,,,,,,,,
酒店餐饮业,,,,,,,,,,,,,,,
金属冶炼,,,,,,,,,,,,,,,
金属制品,,,,,,,1,1,1,1,1,1,1,1,
金融业,2,,,,,1,1,,,1,1,2,1,2,1
钢铁,,,1,5,2,1,5,9,2,2,,1,6,8,5
食品饮料,,,,,,,1,2,2,1,,1,,,
高技术制造,,,,,,,,,,,,,,,
